Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Emiliano Martínez,ar ARG,GK,32-060,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
Pau Torres,es ESP,DF,27-290,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,20.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Aston-Villa
Youri Tielemans,be BEL,MF,27-178,9,9,803.0,8.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.2,2.8,14.0,69.0,10.0,0.0,0.34,0.34,0.0,0.34,0.06,0.25,0.31,0.06,0.31,Matches,Aston-Villa
Morgan Rogers,eng ENG,"MF,FW",22-098,9,9,741.0,8.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,2.2,3.9,25.0,26.0,46.0,0.24,0.24,0.49,0.24,0.49,0.2,0.27,0.47,0.2,0.47,Matches,Aston-Villa
Ollie Watkins,eng ENG,FW,28-307,9,9,685.0,7.6,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,4.3,4.3,1.0,5.3,10.0,4.0,43.0,0.66,0.26,0.92,0.66,0.92,0.57,0.13,0.7,0.57,0.7,Matches,Aston-Villa
Lucas Digne,fr FRA,DF,31-104,9,9,678.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.4,1.7,4.0,13.0,42.0,0.0,0.27,0.27,0.0,0.27,0.03,0.19,0.22,0.03,0.22,Matches,Aston-Villa
Ezri Konsa,eng ENG,DF,27-009,8,8,641.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,29.0,4.0,0.14,0.0,0.14,0.14,0.14,0.05,0.02,0.07,0.05,0.07,Matches,Aston-Villa
Amadou Onana,be BEL,MF,23-077,8,8,540.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,0.1,1.4,7.0,18.0,4.0,0.33,0.0,0.33,0.33,0.33,0.22,0.02,0.24,0.22,0.24,Matches,Aston-Villa
Leon Bailey,jm JAM,"FW,MF",27-084,8,6,428.0,4.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0,1.4,20.0,16.0,37.0,0.0,0.42,0.42,0.0,0.42,0.08,0.21,0.29,0.08,0.29,Matches,Aston-Villa
John McGinn,sct SCO,"MF,FW",30-014,7,6,427.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,10.0,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.14,0.1,0.14,Matches,Aston-Villa
Jacob Ramsey,eng ENG,"FW,MF",23-157,8,5,509.0,5.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.3,1.8,24.0,23.0,48.0,0.0,0.35,0.35,0.0,0.35,0.1,0.22,0.32,0.1,0.32,Matches,Aston-Villa
Matty Cash,pl POL,DF,27-086,5,5,366.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,8.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Aston-Villa
Diego Carlos,br BRA,DF,31-231,4,3,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
Lamare Bogarde,nl NED,DF,20-301,2,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Aston-Villa
Ross Barkley,eng ENG,MF,30-332,8,1,277.0,3.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.0,8.0,16.0,4.0,0.32,0.32,0.65,0.32,0.65,0.25,0.08,0.33,0.25,0.33,Matches,Aston-Villa
Jaden Philogene Bidace,eng ENG,"FW,MF",22-267,5,1,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.2,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Aston-Villa
Jhon Durán,co COL,FW,20-324,9,0,241.0,2.7,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.4,2.4,0.0,2.4,3.0,5.0,16.0,1.49,0.0,1.49,1.49,1.49,0.89,0.02,0.9,0.89,0.9,Matches,Aston-Villa
Ian Maatsen,nl NED,DF,22-236,8,0,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,3.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.53,0.54,0.01,0.54,Matches,Aston-Villa
Kosta Nedeljković,rs SRB,DF,18-321,3,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
Emi Buendía,ar ARG,"MF,FW",27-312,4,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches,Aston-Villa
Boubacar Kamara,fr FRA,MF,24-344,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa
Joe Gauci,au AUS,GK,24-120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Tyrone Mings,eng ENG,DF,31-233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Robin Olsen,se SWE,GK,34-298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Sil Swinkels,nl NED,DF,20-300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Kadan Young,eng ENG,MF,18-287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Oliwier Zych,pl POL,GK,20-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa
Squad Total,,,27.2,9,99,810.0,9.0,15.0,14.0,29.0,15.0,0.0,0.0,26.0,1.0,13.2,13.2,10.8,24.0,171.0,316.0,314.0,1.67,1.56,3.22,1.67,3.22,1.46,1.2,2.66,1.46,2.66,,Aston-Villa
Opponent Total,,,27.2,9,99,810.0,9.0,11.0,7.0,18.0,10.0,1.0,2.0,36.0,1.0,8.8,7.3,5.8,13.1,147.0,269.0,265.0,1.22,0.78,2.0,1.11,1.89,0.98,0.65,1.63,0.81,1.45,,Aston-Villa
